from,to,subject,body,label
"support@bank.com","kunal@example.com","Verify your account","Click the link to verify your identity or your account will be suspended.","phishing"
"hr@company.com","kunal@example.com","Team meeting reminder","Please join the Zoom meeting at 11 AM for project updates.","ham"
"admin@paypal.com","kunal@example.com","Your payment is on hold","We couldn't process your recent payment. Log in to resolve.","phishing"
"marketing@retailstore.com","kunal@example.com","Exclusive offer just for you","Get 50% off on all items today only!","ham"
"security@amazon.com","kunal@example.com","Account locked due to suspicious activity","Reset your password now using the secure link below.","phishing"
"newsletter@techworld.com","kunal@example.com","This week's top tech news","Read the latest updates in AI, cybersecurity, and gadgets.","ham"
"info@taxportal.in","kunal@example.com","Tax filing pending","Update your KYC to avoid penalties. Click here to complete it.","phishing"
"friend@college.edu","kunal@example.com","Catch up soon?","Let’s meet up this weekend to discuss our final year project.","ham"
"billing@netflix.com","kunal@example.com","Subscription expired","Renew now to avoid losing access to your account.","phishing"
"library@university.edu","kunal@example.com","Overdue book notice","You have 2 books overdue. Please return them by Friday.","ham"
"lottery@winnerclaim.com","kunal@example.com","Congratulations! You won!","Claim your ₹10,00,000 prize by submitting your bank details.","phishing"
"canteen@college.edu","kunal@example.com","Weekly menu updated","The mess menu for this week has been uploaded.","ham"
"alerts@icicibank.com","kunal@example.com","Unusual login attempt detected","Confirm your login or reset your password now.","phishing"
"mentor@faculty.edu","kunal@example.com","Assignment submission update","Please email your lab report by Thursday noon.","ham"
"update@adobe.com","kunal@example.com","License expired","Your Adobe license is expiring. Renew now to keep access.","phishing"
"teamlead@internproject.com","kunal@example.com","Code review schedule","Submit your module for peer review by 4 PM.","ham"
"no-reply@flipkart.in","kunal@example.com","Order blocked","Your order was flagged as suspicious. Confirm your identity.","phishing"
"labassistant@college.edu","kunal@example.com","Lab maintenance notice","Tomorrow’s lab session is cancelled due to repairs.","ham"
"service@airtel.in","kunal@example.com","Bill payment required","Your mobile bill is pending. Pay now to avoid late fees.","phishing"
"reception@hostel.edu","kunal@example.com","Room cleaning request","Your room will be cleaned between 2–4 PM today.","ham"
